Token,I felt scared when I played the game [Strongly disagree],I felt scared when I played the game [Disagree],I felt scared when I played the game [Neutral],I felt scared when I played the game [Agree],I felt scared when I played the game [Strongly agree],I lost track of where I was when I played the game. [Strongly disagree],I lost track of where I was when I played the game. [Disagree],I lost track of where I was when I played the game. [Neutral],I lost track of where I was when I played the game. [Agree],I lost track of where I was when I played the game. [Strongly agree],I felt different when I was playing the game [Strongly disagree],I felt different when I was playing the game [Disagree],I felt different when I was playing the game [Neutral],I felt different when I was playing the game [Agree],I felt different when I was playing the game [Strongly agree],Time seemed to stand still or stop as I played the game. [Strongly disagree],Time seemed to stand still or stop as I played the game. [Disagree],Time seemed to stand still or stop as I played the game. [Neutral],Time seemed to stand still or stop as I played the game. [Agree],Time seemed to stand still or stop as I played the game. [Strongly agree],I felt spaced out as I played the game. [Strongly disagree],I felt spaced out as I played the game. [Disagree],I felt spaced out as I played the game. [Neutral],I felt spaced out as I played the game. [Agree],I felt spaced out as I played the game. [Strongly agree],I didn't answer when someone talked to me during the game. [No],I didn't answer when someone talked to me during the game. [Maybe No],I didn't answer when someone talked to me during the game. [Maybe],I didn't answer when someone talked to me during the game. [Maybe Yes],I didn't answer when someone talked to me during the game. [Yes],I couldn't tell if I was getting tired [No],I couldn't tell if I was getting tired [Maybe No],I couldn't tell if I was getting tired [Maybe],I couldn't tell if I was getting tired [Maybe Yes],I couldn't tell if I was getting tired [Yes],If someone talked to me during the game I didn't hear. [No],If someone talked to me during the game I didn't hear. [Maybe No],If someone talked to me during the game I didn't hear. [Maybe],If someone talked to me during the game I didn't hear. [Maybe Yes],If someone talked to me during the game I didn't hear. [Yes],I felt like I couldn't stop playing. [Strongly disagree],I felt like I couldn't stop playing. [Disagree],I felt like I couldn't stop playing. [Neutral],I felt like I couldn't stop playing. [Agree],I felt like I couldn't stop playing. [Strongly agree],The game felt real. [Strongly disagree],The game felt real. [Disagree],The game felt real. [Neutral],The game felt real. [Agree],The game felt real. [Strongly agree],I got wound up as I played the game. [Strongly disagree],I got wound up as I played the game. [Disagree],I got wound up as I played the game. [Neutral],I got wound up as I played the game. [Agree],I got wound up as I played the game. [Strongly agree],Playing seemed automatic. [Strongly disagree],Playing seemed automatic. [Disagree],Playing seemed automatic. [Neutral],Playing seemed automatic. [Agree],Playing seemed automatic. [Strongly agree],I played without thinking how to play. [Strongly disagree],I played without thinking how to play. [Disagree],I played without thinking how to play. [Neutral],I played without thinking how to play. [Agree],I played without thinking how to play. [Strongly agree],Playing made me feel calm. [Strongly disagree],Playing made me feel calm. [Disagree],Playing made me feel calm. [Neutral],Playing made me feel calm. [Agree],Playing made me feel calm. [Strongly agree],Things seemed to happen automatically. [Strongly disagree],Things seemed to happen automatically. [Disagree],Things seemed to happen automatically. [Neutral],Things seemed to happen automatically. [Agree],Things seemed to happen automatically. [Strongly agree],My thoughts went fast as I played the game. [Strongly disagree],My thoughts went fast as I played the game. [Disagree],My thoughts went fast as I played the game. [Neutral],My thoughts went fast as I played the game. [Agree],My thoughts went fast as I played the game. [Strongly agree],I played longer than I meant to. [Strongly disagree],I played longer than I meant to. [Disagree],I played longer than I meant to. [Neutral],I played longer than I meant to. [Agree],I played longer than I meant to. [Strongly agree],I lost track of the time. [Strongly disagree],I lost track of the time. [Disagree],I lost track of the time. [Neutral],I lost track of the time. [Agree],I lost track of the time. [Strongly agree],I really got into the game. [Strongly disagree],I really got into the game. [Disagree],I really got into the game. [Neutral],I really got into the game. [Agree],I really got into the game. [Strongly agree],Please tell us three things that you liked least about the game [Dislike 1],Please tell us three things that you liked least about the game [Dislike 2],Please tell us three things that you liked least about the game [Dislike 3],Please tell us three things that you liked most about the game. [Like 1],Please tell us three things that you liked most about the game. [Like 2],Please tell us three things that you liked most about the game. [Like 3],Email address
411002719,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,dying,losing hp,being weak,how fast it played,..,..,none@email.com
410001849,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,camera divided map into blocks,constant health loss,no end objective,cooperation,enemies kept their lost health,automatically equip higher tier gear,none@email.com
414001109,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,You died to fast,<span style='background-color: #eee8aa;'><span title='Undefined variable' style='border-style: solid; border-width: 2px; border-color: red;'><span title='Undefined variable' style='color: red; font-weight: bold'>filler</span></span></span>,<span style='background-color: #eee8aa;'><span title='Undefined variable' style='border-style: solid; border-width: 2px; border-color: red;'><span title='Undefined variable' style='color: red; font-weight: bold'>filler</span></span></span>,It was fun.,<span style='background-color: #eee8aa;'><span title='Undefined variable' style='border-style: solid; border-width: 2px; border-color: red;'><span title='Undefined variable' style='color: red; font-weight: bold'>filler</span></span></span>,<span style='background-color: #eee8aa;'><span title='Undefined variable' style='border-style: solid; border-width: 2px; border-color: red;'><span title='Undefined variable' style='color: red; font-weight: bold'>filler</span></span></span>,none@email.com
413002668,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Constantly losing health,Enemies kept chasing you for too long,Too much clicking,Looks cool,Getting better armor was fun,Good sense of exploration,none@email.com
411002904,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Bleeding to death,the screen did not auto scroll ,no prompt for closed buildings,Fastpace gameplay,interfae,music,none@email.com
414000196,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,the fact that you loose life fast,the fact that you can't swim,and food is hard to find,it is fun,great experience for  first time computer gamer,easy to play,none@email.com
413000033,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,dying too fast,not being able to store potions,being chased,time comsuming,server held up well,the search,none@email.com
413000771,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,combat system,graphics,only one tutorial,simplicity,achievements,icons,none@email.com
413001265,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,I WANT A BACKPACK. ,I WANT TO CHOOSE MY RESPAWN POINT. ,I WANT BETTER WEAPONS.,It was interesting. ,I liked the character design.,The enemies were challenging. ,none@email.com
412001141,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,dying to fast,didn't really now what to do,finding items became difficult,the server didn't crash,gameplay was better,more realistic,none@email.com
