time,prey,predator
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,33,1
0,33,2
0,33,3
0,33,4
0,33,5
0,33,6
0,33,7
0,33,8
0,33,9
0,33,10
0,33,11
0,33,12
0,33,13
0,33,14
0,33,15
0,33,16
0,33,17
0,33,18
0,33,19
0,33,20
0,33,21
0,33,22
0,33,23
0,33,24
0,33,25
0,33,26
0,33,27
0,33,28
0,33,29
0,33,30
0,33,31
0,33,32
0,33,33
0,33,34
0,33,35
0,33,36
0,33,37
0,33,38
0,33,39
0,33,40
0,34,40
0,35,40
0,36,40
0,37,40
0,38,40
0,39,40
0,40,40
0,41,40
0,42,40
0,43,40
0,44,40
0,45,40
0,46,40
0,47,40
0,48,40
0,49,40
0,50,40
0,51,40
0,52,40
0,53,40
0,54,40
0,55,40
0,56,40
0,57,40
0,58,40
0,59,40
0,60,40
0,61,40
0,62,40
0,63,40
0,64,40
0,65,40
0,66,40
0,67,40
0,68,40
0,69,40
0,70,40
0,71,40
0,72,40
0,73,40
0,74,40
0,75,40
0,76,40
0,77,40
0,78,40
0,79,40
0,80,40
0,81,40
0,82,40
0,83,40
0,84,40
0,85,40
0,86,40
0,87,40
0,88,40
0,89,40
0,90,40
0,91,40
0,92,40
0,93,40
0,94,40
0,95,40
0,96,40
0,97,40
0,98,40
0,99,40
31,100,40
31,101,40
31,102,40
31,103,40
31,104,40
31,105,40
31,106,40
31,107,40
31,108,40
31,109,40
31,110,40
31,111,40
31,112,40
31,112,41
31,112,42
31,112,43
31,112,44
31,112,45
31,112,46
31,112,47
31,112,48
31,112,49
31,112,50
31,112,51
31,113,51
31,114,51
31,115,51
31,116,51
31,117,51
31,118,51
31,119,51
31,120,51
31,121,51
31,122,51
31,123,51
31,124,51
31,125,51
31,126,51
31,127,51
31,128,51
31,129,51
31,130,51
31,131,51
31,132,51
31,133,51
31,134,51
31,135,51
40,134,51
40,133,51
40,132,51
40,131,51
40,130,51
40,129,51
40,128,51
40,128,50
40,128,49
40,128,48
40,128,47
40,128,46
40,128,45
40,128,44
40,128,43
40,128,42
40,128,41
40,128,40
40,128,39
40,128,38
40,128,37
40,128,36
40,127,36
40,126,36
40,125,36
40,124,36
41,123,36
41,122,36
41,121,36
41,120,36
41,119,36
41,118,36
41,117,36
41,116,36
41,115,36
41,114,36
41,113,36
41,112,36
41,111,36
41,110,36
41,109,36
41,108,36
41,107,36
41,106,36
41,105,36
41,104,36
41,103,36
41,103,35
41,103,34
41,103,33
41,103,32
41,103,31
41,103,30
41,103,29
41,103,28
41,102,28
41,101,28
41,100,28
41,99,28
41,98,28
41,97,28
41,96,28
41,95,28
41,94,28
41,93,28
41,92,28
41,91,28
42,90,28
42,89,28
42,88,28
42,87,28
42,86,28
42,86,27
42,86,26
42,86,25
42,86,24
42,86,23
42,86,22
42,85,22
42,84,22
42,83,22
42,82,22
42,81,22
42,80,22
42,79,22
42,78,22
42,77,22
42,76,22
42,75,22
42,74,22
42,73,22
42,72,22
42,71,22
43,70,22
43,69,22
43,68,22
43,67,22
43,66,22
43,66,21
43,66,20
43,65,20
43,64,20
43,63,20
43,62,20
43,61,20
43,60,20
44,59,20
44,58,20
44,58,19
44,57,19
44,56,19
44,55,19
44,54,19
44,53,19
44,52,19
44,51,19
45,50,19
45,49,19
45,48,19
45,48,18
45,48,17
45,48,16
45,48,15
45,47,15
46,46,15
46,45,15
46,44,15
46,44,14
46,43,14
46,42,14
46,41,14
47,41,13
47,40,13
48,39,13
49,39,12
49,39,11
49,38,11
50,37,11
50,36,11
52,36,11
56,35,11
57,36,11
57,37,11
57,38,11
57,39,11
57,40,11
57,40,12
57,40,13
57,40,14
57,41,14
57,42,14
57,43,14
57,44,14
57,45,14
57,46,14
57,47,14
60,46,14
61,45,14
67,44,14
67,43,14
67,42,14
67,41,14
67,40,14
67,40,13
67,40,12
67,40,11
67,40,10
67,39,10
67,38,10
67,37,10
67,36,10
67,35,10
67,34,10
67,33,10
67,32,10
68,32,9
68,31,9
68,30,9
68,29,9
69,29,8
69,28,8
69,27,8
69,26,8
69,25,8
70,24,8
70,24,7
70,24,6
70,24,5
70,23,5
70,22,5
70,21,5
70,20,5
71,19,5
71,18,5
71,17,5
72,17,4
72,16,4
73,15,4
73,14,4
75,14,3
79,13,3
84,14,3
84,15,3
84,16,3
84,17,3
84,18,3
84,19,3
84,20,3
93,19,3
93,18,3
93,17,3
94,16,3
94,15,3
95,15,2
95,15,1
96,14,1
96,14,0
96,13,0
97,12,0
97,11,0
98,10,0
98,9,0
100,8,0
110,9,0
110,10,0
110,11,0
119,10,0
119,9,0
119,8,0
120,7,0
121,6,0
122,5,0
123,4,0
146,3,0
151,2,0
151,1,0
