time,prey,predator 
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,33,1
0,33,2
0,33,3
0,33,4
0,33,5
0,33,6
0,33,7
0,33,8
0,33,9
0,33,10
0,33,11
0,33,12
0,33,13
0,33,14
0,33,15
0,33,16
0,33,17
0,33,18
0,33,19
0,33,20
0,33,21
0,33,22
0,33,23
0,33,24
0,33,25
0,33,26
0,33,27
0,33,28
0,33,29
0,33,30
0,33,31
0,33,32
0,33,33
0,33,34
0,33,35
0,33,36
0,33,37
0,33,38
0,33,39
0,33,40
0,33,41
0,33,42
0,33,43
0,33,44
0,33,45
0,33,46
0,33,47
0,33,48
0,33,49
0,33,50
0,33,51
0,33,52
0,33,53
0,33,54
0,33,55
0,33,56
0,33,57
0,33,58
0,33,59
0,33,60
0,33,61
0,33,62
0,33,63
0,33,64
0,33,65
0,33,66
0,33,67
0,33,68
0,33,69
0,33,70
0,33,71
0,33,72
0,33,73
0,33,74
0,33,75
0,33,76
0,33,77
0,33,78
0,33,79
0,33,80
0,34,80
0,35,80
0,36,80
0,37,80
0,38,80
0,39,80
0,40,80
0,41,80
0,42,80
0,43,80
0,44,80
0,45,80
0,46,80
0,47,80
0,48,80
0,49,80
0,50,80
0,51,80
0,52,80
0,53,80
0,54,80
0,55,80
0,56,80
0,57,80
0,58,80
0,59,80
0,60,80
0,61,80
0,62,80
0,63,80
0,64,80
0,65,80
0,66,80
0,67,80
0,68,80
0,69,80
0,70,80
0,71,80
0,72,80
0,73,80
0,74,80
0,75,80
0,76,80
0,77,80
0,78,80
0,79,80
0,80,80
0,81,80
0,82,80
0,83,80
0,84,80
0,85,80
0,86,80
0,87,80
0,88,80
0,89,80
0,90,80
0,91,80
0,92,80
0,93,80
0,94,80
0,95,80
0,96,80
0,97,80
0,98,80
0,99,80
35,100,80
35,101,80
35,102,80
35,103,80
35,104,80
35,105,80
35,106,80
35,107,80
35,108,80
35,109,80
35,109,81
35,109,82
35,109,83
35,109,84
35,109,85
35,109,86
35,109,87
35,109,88
35,109,89
35,109,90
35,109,91
35,109,92
35,109,93
35,109,94
35,109,95
35,109,96
35,109,97
35,109,98
35,109,99
35,109,100
35,109,101
35,109,102
35,109,103
35,109,104
35,109,105
35,109,106
35,109,107
35,109,108
35,109,109
35,109,110
35,110,110
35,111,110
35,112,110
35,113,110
35,114,110
35,115,110
35,116,110
35,117,110
35,118,110
35,119,110
36,120,110
36,121,110
36,122,110
36,123,110
36,124,110
36,125,110
36,126,110
36,127,110
36,128,110
36,129,110
36,130,110
36,131,110
36,132,110
36,133,110
36,134,110
36,135,110
36,136,110
36,137,110
45,136,110
45,135,110
45,134,110
45,133,110
45,132,110
45,131,110
45,130,110
45,129,110
45,128,110
45,128,109
45,128,108
45,128,107
45,128,106
45,128,105
45,128,104
45,128,103
45,128,102
45,128,101
45,128,100
45,128,99
46,128,98
46,128,97
46,128,96
46,128,95
46,128,94
46,128,93
46,128,92
46,128,91
46,128,90
46,128,89
46,128,88
46,128,87
46,128,86
46,128,85
46,128,84
46,128,83
46,128,82
46,128,81
46,128,80
46,128,79
46,127,79
46,126,79
46,125,79
46,124,79
46,123,79
46,122,79
46,121,79
46,120,79
46,119,79
46,118,79
