
1445632972.5275	 Player sjhak has logged in and is assigned the id 960  point:41 235
1445632976.6156	 Player sjhak 960 	 is at point: 28 234
1445632978.9005	 Player sjhak 960 	 is at point: 17 228
1445632991.2538	Player sjhak 960 	 has left the game at point:24 218
1445635988.4732	 Player Topblast has logged in and is assigned the id 941  point:17 233
1445635992.5572	 Player Topblast 941 	 is at point: 15 228
1445635995.2141	 Player Topblast 941 	 has attacked a mob, player hp:74
1445635996.0349	 Player Topblast 941 	 has attacked a mob, player hp:70
1445635996.8398	 Player Topblast 941 	 has attacked a mob, player hp:65
1445635997.654	 Player Topblast 941 	 has attacked a mob, player hp:60
1445635998.4676	 Player Topblast 941 	 has attacked a mob, player hp:57
1445635999.281	 Player Topblast 941 	 has attacked a mob, player hp:49
1445636000.0956	 Player Topblast 941 	 has attacked a mob, player hp:47
1445636000.9087	 Player Topblast 941 	 has attacked a mob, player hp:39
1445636001.7225	 Player Topblast 941 	 has attacked a mob, player hp:33
1445636002.5363	 Player Topblast 941 	 has attacked a mob, player hp:28
1445636003.4115	 Player Topblast 941 	 has attacked a mob, player hp:23
1445636004.1655	 Player Topblast 941 	 has attacked a mob, player hp:20
1445636006.223	 Player Topblast 941 	 has left the game at point: 19 217
1445636006.4556	 Player Topblast 941 	 is at point: 18 216
1445636009.281	 Player Topblast has logged in and is assigned the id 941  point:13 224
1445636011.1561	 Player Topblast 941 	 has attacked a mob, player hp:77
1445636013.0321	 Player Topblast 941 	 is at point: 16 229
1445636015.5754	 Player Topblast 941 	 is at point: 16 241
1445636017.9313	 Player Topblast 941 	 is at point: 15 240
1445636020.6391	 Player Topblast 941 	 is at point: 18 240
1445636026.072	 Player Topblast 941 	 has attacked a mob, player hp:77
1445636026.8818	 Player Topblast 941 	 has attacked a mob, player hp:76
1445636027.6988	 Player Topblast 941 	 has attacked a mob, player hp:73
1445636028.5094	 Player Topblast 941 	 has attacked a mob, player hp:71
1445636028.5099	Player Topblast 941 	has killed rat 1727 at point: 15 248
1445636029.3236	 Player Topblast 941 	 has attacked a mob, player hp:71
1445636032.1793	 Player Topblast 941 	 has attacked a mob, player hp:68
1445636032.9931	 Player Topblast 941 	 has attacked a mob, player hp:63
1445636033.8069	 Player Topblast 941 	 has attacked a mob, player hp:58
1445636034.6233	 Player Topblast 941 	 has attacked a mob, player hp:55
1445636034.6241	Player Topblast 941 	has killed rat 1027 at point: 15 244
1445636037.4916	 Player Topblast 941 	 is at point: 18 240
1445636039.9679	 Player Topblast 941 	 is at point: 16 228
1445636045.5187	 Player Topblast 941 	 is at point: 18 216
1445636049.0043	 Player Topblast 941 	 is at point: 11 204
1445636052.4894	 Player Topblast 941 	 is at point: 5 192
1445636054.7656	 Player Topblast 941 	 is at point: 15 180
1445636057.1902	 Player Topblast 941 	 has attacked a mob, player hp:94
1445636058.0035	 Player Topblast 941 	 has attacked a mob, player hp:91
1445636058.8166	 Player Topblast 941 	 has attacked a mob, player hp:89
1445636059.6304	 Player Topblast 941 	 has attacked a mob, player hp:87
1445636060.4441	 Player Topblast 941 	 has attacked a mob, player hp:82
1445636060.4449	Player Topblast 941 	has killed bat 78158 at point: 16 173
1445636061.2578	 Player Topblast 941 	 has attacked a mob, player hp:82
1445636083.3466	 Player Topblast 941 	 has attacked a mob, player hp:94
1445636084.1583	 Player Topblast 941 	 has attacked a mob, player hp:94
1445636084.9725	 Player Topblast 941 	 has attacked a mob, player hp:93
1445636086.8303	 Player Topblast 941 	 has attacked a mob, player hp:89
1445636086.8312	Player Topblast 941 	has killed bat 78161 at point: 9 178
1445636093.4253	 Player Topblast 941 	 is at point: 9 168
1445636101.6091	 Player Topblast 941 	 has attacked a mob, player hp:98
1445636102.4092	 Player Topblast 941 	 has attacked a mob, player hp:97
1445636103.223	 Player Topblast 941 	 has attacked a mob, player hp:91
1445636104.0365	 Player Topblast 941 	 has attacked a mob, player hp:86
1445636104.8523	 Player Topblast 941 	 has attacked a mob, player hp:79
1445636104.8531	Player Topblast 941 	has killed bat 78155 at point: 7 168
1445636116.9925	 Player Topblast 941 	 has attacked a mob, player hp:98
1445636117.8038	 Player Topblast 941 	 has attacked a mob, player hp:98
1445636118.6176	 Player Topblast 941 	 has attacked a mob, player hp:98
1445636119.4319	 Player Topblast 941 	 has attacked a mob, player hp:98
1445636120.2452	 Player Topblast 941 	 has attacked a mob, player hp:98
1445636120.2459	Player Topblast 941 	has killed bat 78138 at point: 5 159
1445636124.1317	 Player Topblast 941 	 is at point: 11 156
1445636144.0435	 Player Topblast 941 	 has attacked a mob, player hp:86
1445636144.8566	 Player Topblast 941 	 has attacked a mob, player hp:83
1445636145.6711	 Player Topblast 941 	 has attacked a mob, player hp:81
1445636146.4839	 Player Topblast 941 	 has attacked a mob, player hp:78
1445636147.2974	 Player Topblast 941 	 has attacked a mob, player hp:74
1445636147.2982	Player Topblast 941 	has killed bat 78137 at point: 19 156
1445636153.9242	 Player Topblast 941 	 is at point: 29 149
1445636157.0956	 Player Topblast 941 	 is at point: 43 144
1445636164.404	 Player Topblast 941 	 is at point: 44 132
1445636166.8771	 Player Topblast 941 	 is at point: 42 120
1445636170.7147	 Player Topblast 941 	 is at point: 48 108
1445636175.6455	 Player Topblast 941 	 is at point: 32 96
1445636178.0206	 Player Topblast 941 	 is at point: 36 84
1445636182.3552	 Player Topblast 941 	 has attacked a mob, player hp:42
1445636183.4009	 Player Topblast 941 	 is at point: 32 85
1445636186.3407	 Player Topblast 941 	 is at point: 32 97
1445636188.4493	 Player Topblast 941 	 has left the game at point: 40 107
1445636192.7365	 Player Topblast has logged in and is assigned the id 941  point:43 134
1445636195.5905	 Player Topblast 941 	 is at point: 41 145
1445636196.6866	 Player Topblast 941 	 is at point: 40 144
1445636201.2533	 Player Topblast 941 	 is at point: 36 132
1445636219.4213	 Player Topblast 941 	 is at point: 46 120
1445636223.49	 Player Topblast 941 	 is at point: 46 108
1445636228.8209	 Player Topblast 941 	 is at point: 41 109
1445636231.4131	 Player Topblast 941 	 is at point: 44 121
1445636237.3898	 Player Topblast 941 	 is at point: 44 133
1445636239.5505	 Player Topblast 941 	 is at point: 42 145
1445636241.8259	 Player Topblast 941 	 is at point: 42 157
1445636244.199	 Player Topblast 941 	 is at point: 43 169
1445636245.1128	 Player Topblast 941 	 is at point: 43 168
1445636247.4205	 Player Topblast 941 	 is at point: 43 156
1445636249.3797	 Player Topblast 941 	 has attacked a mob, player hp:94
1445636250.1936	 Player Topblast 941 	 has attacked a mob, player hp:94
1445636251.0086	 Player Topblast 941 	 has attacked a mob, player hp:78
1445636251.8208	 Player Topblast 941 	 has attacked a mob, player hp:62
1445636252.6344	 Player Topblast 941 	 has attacked a mob, player hp:54
1445636253.4484	 Player Topblast 941 	 has attacked a mob, player hp:42
1445636254.2624	 Player Topblast 941 	 has attacked a mob, player hp:38
1445636255.0782	 Player Topblast 941 	 has attacked a mob, player hp:26
1445636255.8895	 Player Topblast 941 	 has attacked a mob, player hp:18
1445636256.7041	 Player Topblast 941 	 has attacked a mob, player hp:8
1445636256.8526	 Player Topblast 941 	 has left the game at point: 43 144
1445636260.5703	 Player Topblast has logged in and is assigned the id 941  point:42 135
1445636263.7119	 Player Topblast 941 	 is at point: 46 145
1445636266.3681	 Player Topblast 941 	 has attacked a mob, player hp:94
1445636267.1823	 Player Topblast 941 	 has attacked a mob, player hp:86
1445636267.8962	 Player Topblast 941 	 is at point: 44 144
1445636269.9238	 Player Topblast 941 	 has attacked a mob, player hp:32
1445636270.7374	 Player Topblast 941 	 has attacked a mob, player hp:16
1445636270.7382	Player Topblast 941 	has killed ogre 7581 at point: 44 145
1445636276.4989	 Player Topblast 941 	 has attacked a mob, player hp:52
1445636277.3122	 Player Topblast 941 	 has attacked a mob, player hp:52
1445636280.152	 Player Topblast 941 	 has attacked a mob, player hp:31
1445636280.1527	Player Topblast 941 	has killed bat 78123 at point: 49 142
1445636283.6234	 Player Topblast 941 	 is at point: 43 132
1445636288.9044	 Player Topblast 941 	 is at point: 38 120
1445636290.6142	 Player Topblast 941 	 has attacked a mob, player hp:99
1445636291.4283	 Player Topblast 941 	 has attacked a mob, player hp:93
1445636292.242	 Player Topblast 941 	 has attacked a mob, player hp:83
1445636293.0563	 Player Topblast 941 	 has attacked a mob, player hp:71
1445636293.8701	 Player Topblast 941 	 has attacked a mob, player hp:53
1445636296.1283	 Player Topblast 941 	 is at point: 28 109
1445636297.5898	 Player Topblast 941 	 is at point: 24 108
1445636302.8203	 Player Topblast 941 	 is at point: 17 96
1445636305.1962	 Player Topblast 941 	 has left the game at point: 155 240
1445636307.3397	 Player Topblast 941 	 has left the game at point: 159 229
1445636308.4017	 Player Topblast 941 	 is at point: 160 228
1445636311.1035	 Player Topblast has logged in and is assigned the id 941  point:43 133
1445636312.9681	 Player Topblast 941 	 is at point: 45 132
1445636315.1761	 Player Topblast 941 	 is at point: 48 120
1445636318.1497	 Player Topblast 941 	 is at point: 48 108
1445636323.6636	 Player Topblast 941 	 is at point: 30 96
1445636326.0715	 Player Topblast 941 	 is at point: 38 84
1445636329.425	 Player Topblast 941 	 has left the game at point: 42 80
1445636334.5183	 Player Topblast has logged in and is assigned the id 941  point:39 82
1445636337.613	 Player Topblast 941 	 is at point: 30 85
1445636339.8878	 Player Topblast 941 	 is at point: 28 90
1445636343.1751	 Player Topblast 941 	 is at point: 13 97
1445636347.1114	 Player Topblast 941 	 is at point: 7 96
1445636352.3105	 Player Topblast 941 	 is at point: 29 89
1445636355.7808	 Player Topblast 941 	 is at point: 28 95
1445636358.937	 Player Topblast 941 	 has left the game at point: 155 240
1445636363.1131	Player Topblast 941 	 has left the game at point:155 240
1445636389.6322	 Player Topblast has logged in and is assigned the id 1876  point:42 223
1445636391.6349	 Player Topblast 1876 	 is at point: 43 216
1445636393.942	 Player Topblast 1876 	 is at point: 44 204
1445636396.4874	 Player Topblast 1876 	 is at point: 44 192
1445636398.6751	 Player Topblast 1876 	 is at point: 43 180
1445636401.0331	 Player Topblast 1876 	 is at point: 42 168
1445636403.3089	 Player Topblast 1876 	 is at point: 43 156
1445636406.4647	 Player Topblast 1876 	 is at point: 43 144
1445636408.6237	 Player Topblast 1876 	 is at point: 43 132
1445636410.9486	 Player Topblast 1876 	 is at point: 39 120
1445636415.3482	 Player Topblast 1876 	 is at point: 42 108
1445636419.5167	 Player Topblast 1876 	 is at point: 31 96
